Fid,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Payload_Data,Malware_Indicators,Anomaly_Scores,Alerts_Warnings,Attack_Type,Attack_Signature,Action_Taken,Severity_Level,Device_Information,Network_Segment,Geo_City_location_Data,Proxy_Information,Firewall_Logs,IDS_IPS_Alerts,Log_Source
10.42.0.211-104.192.110.245-55137-443-6,30-05-23 6:33,103.216.15.12,84.9.164.252,31225,17616,ICMP,503,Data,HTTP,"Qui natus odio asperiores nam. Optio nobis iusto accusamus ad perferendis esse at. Asperiores neque at ad.
Maiores possimus ipsum saepe vitae. Ad possimus veritatis.",IoC Detected,28.67,Alert Triggered,Malware,Known Pattern B,Logged,Low,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.0),Segment A,"Jamshedpur, Sikkim",150.9.97.135,Log Data,NA,Server
151.101.21.140-10.42.0.151-443-46956-6,26-08-20 7:08,78.199.217.198,66.191.137.154,17245,48166,ICMP,1174,Data,HTTP,"Aperiam quos modi officiis veritatis rem. Omnis nulla dolore perspiciatis.
Illo animi mollitia vero voluptates error ad. Quidem maxime eaque optio a. Consectetur quasi veniam et totam culpa ullam.",IoC Detected,51.5,Alert Triggered,Malware,Known Pattern A,Blocked,Low,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0),Segment B,"Bilaspur, Nagaland",NA,Log Data,NA,Firewall
172.217.10.66-10.42.0.151-443-57121-6,13-11-22 8:23,63.79.210.48,198.219.82.17,16811,53600,UDP,306,Control,HTTP,Perferendis sapiente vitae soluta. Hic delectus quae nemo ea esse est rerum.,IoC Detected,87.42,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.0),Segment C,"Bokaro, Rajasthan",114.133.48.179,Log Data,Alert Data,Firewall
180.149.138.197-10.42.0.151-80-54740-6,02-07-23 10:38,163.42.196.10,101.228.192.255,20018,32534,UDP,385,Data,HTTP,Totam maxime beatae expedita explicabo porro labore. Minima ab fugit officiis dicta perspiciatis pariatur. Facilis voluptates eligendi dolores eveniet deserunt. Eveniet reprehenderit culpa quo.,NA,15.79,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_5; rv:1.9.6.20) Gecko/2583-02-14 13:30:10 Firefox/11.0,Segment B,"Jaunpur, Rajasthan",NA,NA,Alert Data,Firewall
172.217.10.106-10.42.0.151-443-53261-6,16-07-23 13:11,71.166.185.76,189.243.174.238,6131,26646,TCP,1462,Data,DNS,"Odit nesciunt dolorem nisi iste iusto. Animi voluptates soluta quis doloribus quas. Iure harum nihil hic illo repellendus.
Quia illo fugit eligendi doloremque. In doloremque autem iure.",NA,0.52,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/3.0),Segment C,"Anantapur, Tripura",149.6.110.119,NA,Alert Data,Firewall
10.42.0.211-104.192.110.245-58910-80-6,28-10-22 13:14,198.102.5.160,147.190.155.133,17430,52805,UDP,1423,Data,HTTP,Repellat quas illum harum fugit incidunt exercitationem illum. Voluptate asperiores aperiam magnam eius. Eos quis repellat eos.,NA,5.76,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Opera/8.58.(X11; Linux i686; nl-NL) Presto/2.9.170 Version/12.00,Segment C,"Aurangabad, Meghalaya",NA,NA,NA,Server
172.217.12.170-10.42.0.151-443-59312-6,16-05-22 17:55,97.253.103.59,77.16.101.53,26562,17416,TCP,379,Data,DNS,"Qui numquam inventore repellat ratione fugit odit. Quidem est possimus voluptates reprehenderit vitae a. Quibusdam in itaque rerum.
Excepturi quisquam iusto provident adipisci.",NA,31.55,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Opera/9.24.(X11; Linux i686; fa-IR) Presto/2.9.175 Version/10.00,Segment A,"Eluru, Manipur",NA,Log Data,NA,Server
172.217.9.238-10.42.0.151-443-55643-6,12-02-23 7:13,11.48.99.245,178.157.14.116,34489,20396,ICMP,1022,Data,DNS,"Amet libero optio quidem praesentium libero. Ea magnam atque corporis ipsum iure iusto.
Eveniet dolor odio libero. Minus iste fugit asperiores minima eos ipsum.",IoC Detected,54.05,Alert Triggered,Intrusion,Known Pattern A,Logged,High,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_6) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/45.0.865.0 Safari/534.2",Segment A,"Phagwara, Andhra Pradesh",192.31.159.5,Log Data,Alert Data,Firewall
172.217.3.106-10.42.0.151-443-33758-6,27-06-23 11:02,49.32.208.167,72.202.237.9,56296,20857,TCP,1281,Control,FTP,Veritatis nihil amet atque molestias aperiam minus. Velit hic aperiam iusto vitae nulla dolor maxime. Atque aspernatur reiciendis in.,IoC Detected,56.34,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_8) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/38.0.861.0 Safari/536.1",Segment B,"Ambala, Tripura",NA,Log Data,Alert Data,Server
10.42.0.211-64.71.142.124-57310-443-6,15-08-21 22:29,114.109.149.113,160.88.194.172,37918,50039,UDP,224,Data,HTTP,Consequatur ipsum autem reprehenderit quae. Doloribus dicta laboriosam porro consequatur dicta deleniti. Hic doloribus non aliquam.,NA,16.51,Alert Triggered,Malware,Known Pattern B,Blocked,Medium,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/533.28.5 (KHTML, like Gecko) Version/4.0 Safari/533.28.5",Segment A,"Rampur, Mizoram",87.128.245.244,NA,NA,Server
219.142.78.217-10.42.0.42-80-35452-6,20-07-22 13:28,177.21.83.200,196.218.124.169,35538,35006,ICMP,661,Data,HTTP,"Sequi maxime voluptate ea. Eius officiis eaque. Nesciunt aspernatur rerum qui aperiam earum.
Eius dolore molestias. Voluptas laboriosam vero suscipit assumenda inventore.",NA,24.91,Alert Triggered,Malware,Known Pattern B,Ignored,Medium,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; xh-ZA) AppleWebKit/534.25.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6534.25.1",Segment B,"Gangtok, Haryana",29.161.99.247,NA,NA,Server
10.42.0.211-10.42.0.1-24609-53-17,26-06-22 15:15,92.4.25.171,112.43.185.24,10903,36817,TCP,281,Control,HTTP,Nihil praesentium asperiores omnis ullam libero. Facilis eius aspernatur perspiciatis inventore veniam. Laborum nobis ex iste.,NA,86.07,Alert Triggered,Malware,Known Pattern B,Ignored,Low,Opera/8.38.(X11; Linux x86_64; pt-BR) Presto/2.9.175 Version/12.00,Segment B,"Nandyal, Mizoram",NA,NA,NA,Firewall
180.149.136.194-10.42.0.151-80-34478-6,30-09-20 21:35,57.91.207.84,98.96.110.38,53471,38048,ICMP,64,Control,DNS,Earum sit est et eaque ipsam. Vero repellendus error iusto eveniet.,NA,74.2,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Opera/8.54.(Windows NT 6.0; tg-TJ) Presto/2.9.170 Version/12.00,Segment B,"Silchar, Kerala",NA,Log Data,Alert Data,Server
10.42.0.151-104.88.89.135-45394-443-6,13-01-21 2:30,80.28.21.123,111.204.103.106,43729,10845,ICMP,1341,Data,HTTP,"Ab voluptatibus nam aperiam. Est sed nostrum animi quae quas. Rerum minus possimus quis.
Cupiditate provident doloremque aliquam maiores tenetur tempora.
Similique dolor ullam illo placeat.",NA,62.14,Alert Triggered,Malware,Known Pattern A,Ignored,Low,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),Segment C,"Gudivada, Odisha",59.131.15.72,NA,NA,Firewall
10.42.0.151-10.42.0.1-27179-53-17,01-02-23 13:17,54.163.130.178,62.112.149.214,47795,35243,UDP,913,Data,DNS,"Sit doloremque explicabo. Cupiditate placeat exercitationem. Dolores rerum iste necessitatibus libero voluptate.
Suscipit itaque inventore eveniet ipsa. Ea ipsa minima impedit aliquam cumque.",NA,72.65,Alert Triggered,Malware,Known Pattern B,Logged,High,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/5645-10-22 09:50:59 Firefox/3.8,Segment B,"Silchar, Maharashtra",155.121.88.187,NA,NA,Firewall
10.42.0.211-119.146.74.34-49507-80-6,15-09-23 20:35,130.163.192.252,12.192.2.112,24912,21176,TCP,425,Data,DNS,Voluptates nam doloremque. Eius amet officiis aperiam delectus mollitia pariatur. Ducimus aut in dolorem ipsum molestiae.,NA,91.56,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Opera/8.85.(X11; Linux x86_64; sk-SK) Presto/2.9.163 Version/11.00,Segment C,"Bhiwandi, Tripura",NA,Log Data,NA,Firewall
